Benchmarking Ryu
05/28/19 14:42:20
Run on (4 X 3408 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 262K (x4)
  L3 Unified 6291K (x1)
-----------------------------------------------------------------------------------
Benchmark                                            Time           CPU Iterations
-----------------------------------------------------------------------------------
double - Random-bits   /repeats:3_min               42 ns         42 ns   16592593
double - Uniform 0/1   /repeats:3_min               38 ns         38 ns   18666667
double - Uniform 0/1e+308   /repeats:3_min          35 ns         35 ns   20363636
double - 1.0-digits   /repeats:3_min                12 ns         12 ns   56000000
double - 1.1-digits   /repeats:3_min                37 ns         37 ns   19478261
double - 1.2-digits   /repeats:3_min                37 ns         37 ns   18666667
double - 1.3-digits   /repeats:3_min                35 ns         35 ns   19478261
double - 1.4-digits   /repeats:3_min                36 ns         36 ns   18666667
double - 1.5-digits   /repeats:3_min                36 ns         36 ns   19478261
double - 1.6-digits   /repeats:3_min                38 ns         38 ns   17920000
double - 1.7-digits   /repeats:3_min                38 ns         38 ns   18666667
double - 1.8-digits   /repeats:3_min                35 ns         35 ns   19478261
double - 1.9-digits   /repeats:3_min                37 ns         37 ns   18666667
double - 1.10-digits   /repeats:3_min               37 ns         37 ns   17920000
double - 1.11-digits   /repeats:3_min               36 ns         36 ns   19478261
double - 1.12-digits   /repeats:3_min               38 ns         38 ns   18666667
double - 1.13-digits   /repeats:3_min               36 ns         37 ns   18666667
double - 1.14-digits   /repeats:3_min               39 ns         39 ns   17230769
double - 0.1-digits   /repeats:3_min                38 ns         38 ns   18666667
double - 1.1-digits   /repeats:3_min                37 ns         37 ns   18666667
double - 2.1-digits   /repeats:3_min                39 ns         39 ns   17920000
double - 3.1-digits   /repeats:3_min                37 ns         37 ns   17920000
double - 4.1-digits   /repeats:3_min                37 ns         37 ns   19478261
double - 5.1-digits   /repeats:3_min                37 ns         37 ns   18666667
double - 6.1-digits   /repeats:3_min                38 ns         39 ns   18666667
double - 7.1-digits   /repeats:3_min                37 ns         37 ns   18666667
double - 8.1-digits   /repeats:3_min                38 ns         38 ns   17920000
double - 9.1-digits   /repeats:3_min                38 ns         38 ns   17920000
double - 10.1-digits   /repeats:3_min               37 ns         37 ns   19478261
double - 11.1-digits   /repeats:3_min               37 ns         37 ns   17920000
double - 12.1-digits   /repeats:3_min               38 ns         38 ns   18666667
double - 13.1-digits   /repeats:3_min               35 ns         35 ns   19478261
double - 14.1-digits   /repeats:3_min               39 ns         39 ns   17230769
double - 1-digits / 10^22   /repeats:3_min          33 ns         33 ns   21333333
double - 2-digits / 10^22   /repeats:3_min          32 ns         32 ns   21333333
double - 3-digits / 10^22   /repeats:3_min          33 ns         33 ns   21333333
double - 4-digits / 10^22   /repeats:3_min          31 ns         31 ns   22400000
double - 5-digits / 10^22   /repeats:3_min          33 ns         32 ns   21333333
double - 6-digits / 10^22   /repeats:3_min          31 ns         31 ns   21333333
double - 7-digits / 10^22   /repeats:3_min          33 ns         32 ns   21333333
double - 8-digits / 10^22   /repeats:3_min          34 ns         34 ns   20363636
double - 9-digits / 10^22   /repeats:3_min          32 ns         32 ns   21333333
double - 10-digits / 10^22   /repeats:3_min         34 ns         34 ns   21333333
double - 11-digits / 10^22   /repeats:3_min         33 ns         32 ns   20363636
double - 12-digits / 10^22   /repeats:3_min         32 ns         33 ns   20363636
double - 13-digits / 10^22   /repeats:3_min         32 ns         31 ns   21333333
double - 14-digits / 10^22   /repeats:3_min         33 ns         33 ns   21333333
double - 15-digits / 10^22   /repeats:3_min         37 ns         37 ns   18666667
double - 1-digits * 10^22   /repeats:3_min          53 ns         53 ns   11200000
double - 2-digits * 10^22   /repeats:3_min          37 ns         37 ns   18666667
double - 3-digits * 10^22   /repeats:3_min          35 ns         34 ns   19478261
double - 4-digits * 10^22   /repeats:3_min          33 ns         33 ns   21333333
double - 5-digits * 10^22   /repeats:3_min          35 ns         35 ns   20363636
double - 6-digits * 10^22   /repeats:3_min          33 ns         33 ns   20363636
double - 7-digits * 10^22   /repeats:3_min          34 ns         34 ns   19478261
double - 8-digits * 10^22   /repeats:3_min          35 ns         34 ns   19478261
double - 9-digits * 10^22   /repeats:3_min          35 ns         35 ns   20363636
double - 10-digits * 10^22   /repeats:3_min         35 ns         35 ns   19478261
double - 11-digits * 10^22   /repeats:3_min         35 ns         35 ns   19478261
double - 12-digits * 10^22   /repeats:3_min         35 ns         35 ns   20363636
double - 13-digits * 10^22   /repeats:3_min         35 ns         35 ns   20363636
double - 14-digits * 10^22   /repeats:3_min         34 ns         34 ns   20363636
double - 15-digits * 10^22   /repeats:3_min         36 ns         36 ns   19478261
